N,P,K,ph,moisture,organic_carbon,soil_quality
16,57,16,7.36,10,0.54,Bad
32,5,45,5.62,17,1.02,Bad
84,6,56,5.79,62,0.25,Bad
95,23,33,5.65,51,0.21,Bad
31,18,27,5.02,24,0.31,Bad
98,12,25,7.51,43,1.07,Bad
31,42,20,4.69,28,0.73,Bad
38,16,57,5.1,53,0.79,Bad
22,30,55,4.92,39,1.04,Bad
91,31,52,7.8,19,0.25,Bad
11,33,45,4.68,53,0.59,Bad
38,19,49,7.16,67,0.84,Bad
94,50,30,4.68,62,0.6,Bad
88,57,41,7.65,36,0.23,Bad
61,5,26,8.15,29,0.85,Bad
36,47,55,6.45,34,0.59,Bad
59,32,14,7.72,18,0.22,Bad
88,7,11,7.33,49,0.37,Bad
32,55,13,7.68,43,0.42,Bad
97,22,29,7.57,30,0.71,Bad
53,56,50,5.32,33,0.39,Bad
86,38,19,6.5,65,0.56,Bad
31,36,17,8.34,16,0.95,Bad
52,33,46,5.87,13,1.01,Bad
46,29,50,8.38,60,1.0,Bad
70,30,30,6.83,17,0.9,Bad
65,43,25,6.35,65,0.74,Bad
12,12,27,7.13,22,0.75,Bad
72,23,48,7.76,67,1.15,Bad
28,58,32,6.08,30,1.08,Bad
32,51,55,4.63,44,0.85,Bad
38,46,42,7.34,14,0.67,Bad
39,26,16,8.32,61,0.93,Bad
48,33,28,7.0,17,0.26,Bad
34,37,17,5.25,11,1.14,Bad
17,42,44,5.49,68,0.75,Bad
67,49,52,8.14,33,0.7,Bad
25,50,6,4.55,51,0.49,Bad
81,39,58,6.69,63,0.2,Bad
10,47,43,5.13,25,0.26,Bad
14,7,16,5.63,13,0.46,Bad
12,23,43,5.73,68,0.74,Bad
74,14,55,5.38,39,0.28,Bad
13,31,18,7.67,55,1.17,Bad
73,19,34,5.83,39,0.61,Bad
98,15,45,5.88,44,0.52,Bad
19,51,54,6.31,51,0.73,Bad
30,30,47,8.11,22,0.26,Bad
55,28,52,7.25,46,1.05,Bad
36,17,23,4.75,63,0.66,Bad
75,36,35,4.66,58,0.38,Bad
50,41,47,6.77,58,0.36,Bad
22,8,54,8.05,20,0.56,Bad
18,17,47,5.79,67,0.77,Bad
45,13,29,5.49,28,0.62,Bad
95,53,8,7.49,27,0.8,Bad
99,38,54,6.91,69,0.91,Bad
67,41,55,6.76,26,0.95,Good
63,52,17,5.1,20,0.6,Bad
21,11,40,5.2,24,0.92,Bad
90,5,46,5.63,17,0.34,Bad
87,16,58,5.33,53,0.71,Bad
23,25,41,8.39,38,0.27,Bad
43,15,7,4.57,26,0.44,Bad
62,48,20,7.0,35,0.78,Bad
29,55,30,6.57,65,0.94,Bad
84,48,44,5.79,14,0.3,Bad
25,48,43,8.05,13,0.41,Bad
79,18,23,7.18,65,1.19,Bad
65,38,50,8.49,33,0.54,Bad
92,38,19,5.17,20,0.48,Bad
67,29,36,4.85,39,0.29,Bad
13,8,53,5.06,49,0.89,Bad
13,56,25,5.58,57,0.71,Bad
29,59,5,6.17,57,0.36,Bad
19,30,10,7.95,44,0.83,Bad
33,20,31,5.63,53,0.73,Bad
35,14,27,8.16,65,0.76,Bad
46,49,51,6.35,54,1.19,Bad
94,6,35,7.09,42,0.23,Bad
63,39,16,5.56,45,1.11,Bad
30,23,25,5.12,30,1.04,Bad
83,10,56,7.98,47,0.62,Bad
47,23,6,4.94,14,1.08,Bad
55,57,9,7.6,14,0.85,Bad
13,56,13,6.82,30,1.09,Bad
69,55,24,7.94,34,0.79,Bad
66,12,50,7.37,19,0.42,Bad
54,18,22,5.63,67,0.78,Bad
29,14,26,6.8,28,0.38,Bad
26,7,12,4.55,41,0.34,Bad
80,42,38,6.4,27,0.85,Good
13,33,13,4.84,67,1.15,Bad
23,19,11,6.22,43,0.79,Bad
12,27,34,4.94,57,1.0,Bad
97,27,22,8.32,24,0.37,Bad
89,22,31,6.59,33,0.85,Bad
67,50,20,8.15,14,0.93,Bad
64,23,25,4.59,62,0.24,Bad
13,32,9,7.05,63,0.3,Bad
33,30,59,5.73,41,0.98,Bad
43,14,33,6.23,18,0.64,Bad
39,51,51,7.99,64,0.61,Bad
91,8,41,8.42,14,1.12,Bad
28,59,47,5.49,14,1.19,Bad
40,6,26,8.29,67,0.96,Bad
69,7,18,7.25,50,0.99,Bad
69,11,23,8.31,50,0.41,Bad
28,59,39,6.75,43,0.39,Bad
58,20,28,8.34,16,1.18,Bad
72,35,46,8.07,35,0.9,Bad
92,14,10,5.01,10,0.89,Bad
31,23,7,5.74,61,0.49,Bad
33,32,38,5.47,43,1.09,Bad
85,21,49,6.79,35,0.24,Bad
39,32,54,7.71,66,0.47,Bad
67,23,6,7.54,41,0.38,Bad
40,41,19,7.41,21,0.91,Bad
73,27,41,6.0,15,0.92,Bad
28,24,19,5.06,29,0.73,Bad
57,17,36,5.34,28,0.21,Bad
54,17,25,7.47,25,1.07,Bad
64,47,21,5.09,13,1.16,Bad
64,15,38,5.39,41,0.4,Bad
27,52,36,6.2,27,1.04,Bad
72,19,54,4.79,14,1.17,Bad
56,21,51,5.35,66,0.53,Bad
84,58,56,5.1,63,0.39,Bad
66,54,27,8.31,59,1.18,Bad
54,32,39,5.27,15,0.26,Bad
42,23,41,7.95,66,0.48,Bad
26,8,47,4.96,23,0.94,Bad
79,26,45,7.98,61,0.82,Bad
13,26,41,6.9,58,0.88,Bad
29,59,37,7.9,27,0.91,Bad
56,41,29,7.97,62,0.89,Bad
24,43,50,6.89,19,0.54,Bad
79,38,41,8.17,32,0.51,Bad
56,37,44,6.84,65,0.63,Bad
87,48,25,7.35,60,1.01,Bad
84,46,50,6.16,66,1.14,Bad
18,44,52,8.16,27,0.66,Bad
99,37,42,7.8,13,0.29,Bad
25,16,44,5.17,61,1.14,Bad
78,6,38,6.81,41,0.28,Bad
70,32,23,8.09,56,0.36,Bad
19,14,31,7.67,15,1.07,Bad
59,26,13,8.35,35,0.75,Bad
12,21,9,5.43,15,0.55,Bad
86,30,9,5.97,44,1.13,Bad
79,7,29,6.53,50,1.16,Bad
90,11,30,5.43,52,0.53,Bad
60,48,23,6.08,14,1.07,Bad
28,12,34,6.65,23,0.88,Bad
51,24,40,5.27,11,0.47,Bad
44,16,52,5.53,63,1.14,Bad
55,39,52,5.0,60,0.26,Bad
35,21,20,7.35,49,0.52,Bad
78,32,11,5.95,22,0.6,Bad
73,45,22,5.38,60,0.89,Bad
46,14,25,6.53,14,0.24,Bad
93,26,35,4.77,56,1.09,Bad
58,42,5,8.19,45,0.86,Bad
30,37,7,5.68,45,0.48,Bad
83,26,35,8.05,59,0.86,Bad
73,48,29,6.49,65,0.74,Bad
14,41,57,7.9,28,0.54,Bad
79,17,12,5.49,29,0.23,Bad
99,31,5,5.2,31,0.75,Bad
13,19,11,7.9,40,0.28,Bad
48,26,11,5.35,50,1.01,Bad
44,34,12,7.48,56,0.29,Bad
10,47,23,5.88,53,0.63,Bad
33,44,21,7.49,13,0.63,Bad
66,41,15,8.13,12,0.76,Bad
79,38,51,8.43,46,0.24,Bad
50,48,45,5.94,34,0.4,Bad
63,38,53,5.97,58,0.4,Bad
55,52,15,8.43,46,0.8,Bad
69,57,42,7.95,68,0.46,Bad
69,39,45,4.68,13,0.34,Bad
66,46,54,6.79,62,0.22,Bad
40,23,56,5.22,48,1.04,Bad
93,12,6,8.48,16,1.17,Bad
33,43,8,5.06,16,0.9,Bad
98,37,54,6.74,58,0.61,Good
45,48,32,7.16,34,0.32,Bad
94,32,37,8.25,24,0.68,Bad
39,41,15,7.89,16,0.66,Bad
33,52,7,5.48,56,0.62,Bad
39,29,44,6.79,61,0.58,Bad
95,40,9,8.31,13,0.7,Bad
16,21,56,7.44,43,0.27,Bad
44,28,25,7.25,63,0.24,Bad
64,25,26,7.52,54,0.26,Bad
23,6,58,5.79,53,0.4,Bad
19,35,41,7.42,51,0.48,Bad
89,48,15,5.43,28,0.37,Bad
25,37,48,6.21,56,0.45,Bad
63,34,26,8.06,58,0.39,Bad
98,16,45,4.58,62,0.35,Bad
86,48,57,6.16,47,0.49,Bad
79,16,17,5.57,36,0.6,Bad
53,55,58,5.29,14,0.94,Bad
82,53,56,7.85,62,1.16,Bad
54,56,7,7.29,69,1.12,Bad
65,28,17,4.95,67,0.68,Bad
93,28,32,6.48,22,0.66,Bad
91,15,58,6.37,68,0.33,Bad
66,17,15,5.07,55,1.17,Bad
30,31,15,7.7,65,0.96,Bad
77,12,25,5.97,23,1.05,Bad
59,14,56,7.55,39,0.43,Bad
42,12,25,5.27,56,0.6,Bad
16,24,11,5.76,57,0.3,Bad
79,12,21,4.88,19,1.14,Bad
24,13,52,5.07,41,0.49,Bad
91,11,18,8.03,10,0.8,Bad
41,18,37,4.94,33,0.35,Bad
84,32,15,4.88,38,1.0,Bad
29,6,17,8.26,52,0.39,Bad
97,47,5,7.08,16,1.01,Bad
24,12,38,4.9,40,0.6,Bad
57,17,13,8.39,26,0.78,Bad
80,25,17,5.09,39,0.47,Bad
30,51,41,7.57,34,1.08,Bad
51,32,34,4.64,37,0.96,Bad
35,39,45,7.0,45,0.55,Bad
23,27,49,6.69,16,0.79,Bad
66,50,41,5.33,44,0.33,Bad
46,19,51,7.07,65,0.36,Bad
67,6,11,6.97,29,0.73,Bad
30,55,18,7.69,23,0.84,Bad
91,16,52,8.0,59,0.76,Bad
78,56,10,6.54,59,0.76,Bad
12,40,38,6.46,65,0.94,Bad
96,7,20,6.99,39,1.1,Bad
99,9,55,7.42,65,0.59,Bad
46,7,41,5.92,10,0.74,Bad
97,51,40,6.52,47,1.09,Good
58,23,50,6.84,50,0.66,Bad
28,6,10,8.45,34,0.65,Bad
98,48,12,6.85,43,0.97,Bad
94,41,28,5.4,17,1.08,Bad
21,58,7,6.85,65,0.94,Bad
70,21,8,7.78,29,0.3,Bad
50,18,36,7.93,39,0.66,Bad
42,32,5,7.7,13,0.41,Bad
59,31,38,8.05,30,0.52,Bad
77,58,49,5.84,36,0.67,Bad
80,14,13,6.53,19,0.42,Bad
95,7,16,7.62,32,0.72,Bad
42,40,14,5.56,42,0.84,Bad
90,42,14,5.99,20,1.07,Bad
33,29,54,7.82,50,0.41,Bad
70,26,48,7.58,28,0.51,Bad
70,52,58,8.38,20,0.61,Bad
37,43,52,8.48,13,0.42,Bad
67,51,27,5.46,32,0.53,Bad
52,34,10,8.1,14,1.08,Bad
50,25,28,4.88,62,0.34,Bad
48,34,28,7.34,58,0.64,Bad
95,32,25,5.38,59,0.51,Bad
58,35,46,5.7,14,0.28,Bad
26,56,35,8.29,27,0.3,Bad
79,30,51,5.55,26,0.98,Bad
79,47,45,7.19,67,1.05,Bad
74,26,34,5.21,12,0.94,Bad
83,25,38,4.87,52,0.74,Bad
94,5,22,5.86,58,0.97,Bad
14,41,16,7.0,67,0.35,Bad
11,17,39,5.49,17,0.98,Bad
31,25,11,5.7,65,0.62,Bad
66,50,45,7.33,49,0.95,Good
75,13,44,4.91,32,0.43,Bad
83,21,29,6.29,32,1.03,Bad
25,51,10,8.27,11,0.77,Bad
60,25,5,6.09,66,0.21,Bad
48,35,50,6.24,48,0.72,Bad
95,43,20,7.45,30,0.51,Bad
85,58,52,7.62,61,0.26,Bad
97,26,8,7.58,33,0.65,Bad
49,16,33,8.49,62,0.51,Bad
47,59,42,4.79,47,0.4,Bad
69,10,51,8.43,29,0.55,Bad
68,57,32,8.3,59,0.38,Bad
19,20,26,7.91,69,0.5,Bad
73,30,12,6.32,48,0.32,Bad
72,9,36,7.98,69,0.28,Bad
58,13,37,5.38,59,1.11,Bad
73,50,17,7.67,36,1.1,Bad
41,44,31,5.24,53,1.03,Bad
16,18,22,7.76,48,0.43,Bad
30,48,22,6.96,16,0.93,Bad
29,46,17,4.89,42,0.79,Bad
35,34,26,8.08,38,0.25,Bad
77,56,18,6.81,19,1.1,Bad
95,56,15,7.12,19,1.2,Bad
24,30,43,5.63,21,0.91,Bad
94,57,54,7.99,12,0.43,Bad
88,49,57,6.68,12,0.75,Bad
95,33,26,6.18,22,0.31,Bad
23,23,40,6.64,54,0.5,Bad
36,51,21,7.31,40,0.92,Bad
49,12,55,7.28,36,0.5,Bad
67,27,36,5.93,15,0.35,Bad
37,57,18,6.04,36,0.21,Bad
35,46,46,6.75,44,0.77,Bad
72,39,33,8.2,69,1.17,Bad
75,35,10,7.48,56,0.68,Bad
34,57,54,6.06,18,0.41,Bad
12,39,8,5.85,62,0.66,Bad
81,36,15,6.59,15,0.8,Bad
53,9,49,7.98,15,1.0,Bad
51,20,44,4.53,49,0.65,Bad
15,21,14,7.34,35,0.37,Bad
48,36,59,5.68,52,0.39,Bad
61,42,32,5.33,28,1.1,Bad
32,36,15,4.55,25,0.44,Bad
98,56,39,8.09,50,0.93,Bad
59,24,19,8.15,32,0.47,Bad
52,52,12,4.75,20,0.92,Bad
28,6,24,6.59,25,0.28,Bad
78,24,54,5.11,38,0.41,Bad
60,51,25,7.53,47,0.61,Bad
20,22,5,7.16,68,0.72,Bad
21,5,33,5.69,58,0.55,Bad
83,33,28,4.97,57,0.77,Bad
17,33,34,7.82,29,0.53,Bad
33,23,44,7.2,30,0.88,Bad
50,48,39,4.53,37,0.71,Bad
45,44,37,7.01,59,0.91,Bad
94,10,24,7.74,42,0.63,Bad
81,48,20,6.86,59,1.08,Bad
64,43,13,6.2,49,0.58,Bad
18,54,35,6.84,35,0.51,Bad
56,58,21,6.98,63,0.76,Bad
24,50,35,7.06,19,0.71,Bad
57,12,52,8.37,43,0.72,Bad
91,28,27,5.21,18,1.0,Bad
51,24,10,6.99,65,0.79,Bad
69,58,34,5.25,45,1.09,Bad
93,18,59,5.34,20,0.82,Bad
79,9,11,7.18,19,0.22,Bad
21,45,52,8.16,55,1.07,Bad
11,44,44,5.14,16,1.04,Bad
16,38,46,8.35,60,0.25,Bad
89,20,50,5.78,47,0.33,Bad
12,49,15,6.07,25,0.76,Bad
12,11,38,5.11,60,0.24,Bad
36,20,16,6.96,35,0.61,Bad
49,11,56,6.89,41,1.18,Bad
42,31,56,6.27,40,0.37,Bad
10,18,49,6.4,60,0.41,Bad
17,18,51,6.99,41,0.88,Bad
41,48,31,6.83,54,0.24,Bad
57,37,16,6.0,21,1.02,Bad
13,37,17,8.04,36,0.4,Bad
79,48,12,7.17,66,0.73,Bad
28,24,20,5.32,31,0.45,Bad
41,57,33,5.78,24,0.86,Bad
18,51,39,7.65,17,0.79,Bad
21,40,33,4.92,13,1.15,Bad
20,11,35,7.5,61,0.65,Bad
55,36,17,5.94,17,1.07,Bad
25,52,16,6.71,32,0.78,Bad
10,7,55,5.62,62,1.11,Bad
72,43,6,8.45,25,0.49,Bad
30,33,37,8.12,57,0.75,Bad
39,28,12,8.21,43,0.59,Bad
22,26,45,5.24,31,0.27,Bad
43,10,44,7.87,58,0.77,Bad
13,52,57,6.64,32,0.99,Bad
37,28,53,7.33,66,0.76,Bad
68,44,45,5.37,14,0.48,Bad
36,27,36,7.35,46,0.46,Bad
78,58,42,8.16,53,0.44,Bad
34,42,32,5.57,16,1.18,Bad
12,14,19,5.43,46,0.6,Bad
77,20,27,4.92,35,0.52,Bad
34,15,28,5.57,69,0.62,Bad
29,36,17,6.64,37,0.32,Bad
43,49,25,7.83,13,0.4,Bad
35,10,58,5.62,58,0.71,Bad
14,28,16,6.98,41,1.0,Bad
70,37,17,6.42,47,1.08,Bad
18,57,43,5.65,55,1.07,Bad
59,55,27,6.54,18,1.14,Bad
15,16,54,5.17,45,0.33,Bad
92,31,50,7.06,35,0.24,Bad
69,42,47,4.96,20,0.31,Bad
53,22,32,7.42,29,0.8,Bad
20,49,18,5.21,62,0.76,Bad
75,43,21,8.49,57,0.87,Bad
56,59,28,7.79,57,0.57,Bad
82,17,57,5.88,57,0.59,Bad
94,57,38,6.2,47,0.75,Good
97,44,55,5.54,24,0.28,Bad
95,34,52,7.57,44,1.0,Bad
12,57,26,6.02,18,1.12,Bad
85,53,14,7.52,42,0.59,Bad
39,45,58,4.57,20,0.94,Bad
99,56,12,5.04,31,0.75,Bad
30,17,25,5.96,15,0.44,Bad
37,38,41,4.94,65,0.27,Bad
99,40,11,6.9,46,0.45,Bad
71,34,30,4.7,66,0.8,Bad
42,29,17,7.94,66,0.24,Bad
94,6,20,7.55,69,1.04,Bad
44,40,34,5.37,59,1.17,Bad
61,22,35,6.44,30,0.28,Bad
43,9,9,6.31,21,0.45,Bad
50,23,36,7.4,16,0.88,Bad
60,46,20,6.11,11,1.01,Bad
56,22,51,4.63,48,0.55,Bad
91,36,13,5.59,50,0.72,Bad
67,25,26,6.36,33,1.09,Bad
84,14,59,8.4,35,0.58,Bad
66,41,48,8.02,34,0.28,Bad
32,53,44,5.23,29,1.19,Bad
57,26,49,7.39,49,0.38,Bad
31,17,41,8.25,50,0.25,Bad
26,59,18,4.54,51,0.61,Bad
78,21,20,7.38,53,0.32,Bad
20,13,47,6.34,11,1.18,Bad
24,28,24,7.22,51,0.58,Bad
44,48,48,6.92,44,1.03,Bad
42,18,19,8.44,42,0.38,Bad
93,50,48,5.66,26,0.34,Bad
25,12,30,7.64,67,0.85,Bad
43,59,13,5.44,31,1.11,Bad
75,41,5,6.24,10,0.31,Bad
49,23,39,8.4,46,0.79,Bad
37,32,48,7.56,39,0.28,Bad
56,50,24,5.76,55,1.01,Bad
48,45,49,6.98,15,1.11,Bad
79,34,59,4.7,50,0.83,Bad
82,11,10,5.57,63,0.89,Bad
29,30,46,7.37,23,0.26,Bad
10,44,14,6.78,45,0.27,Bad
81,50,52,6.38,42,0.38,Bad
96,58,37,7.26,47,0.47,Bad
72,50,20,6.09,48,0.96,Bad
76,15,40,4.6,62,0.64,Bad
13,18,10,6.26,15,0.28,Bad
67,25,23,8.11,35,1.05,Bad
34,12,35,7.93,33,1.19,Bad
56,7,6,6.14,42,0.66,Bad
47,32,22,4.59,17,0.71,Bad
24,33,46,7.05,53,0.28,Bad
72,27,32,7.46,52,0.58,Bad
30,22,8,5.68,43,0.57,Bad
66,39,5,6.41,43,1.17,Bad
62,17,51,8.47,33,0.86,Bad
55,16,46,6.81,11,0.98,Bad
23,51,54,5.9,17,0.33,Bad
85,54,20,7.01,62,0.62,Bad
26,9,49,5.22,34,0.39,Bad
48,43,51,5.3,66,1.06,Bad
18,15,6,8.2,39,0.35,Bad
86,15,56,5.46,41,0.64,Bad
88,51,40,5.74,65,0.25,Bad
91,46,5,6.68,39,0.83,Bad
15,51,43,8.1,66,0.68,Bad
32,35,27,7.63,16,0.7,Bad
68,35,30,4.68,57,0.3,Bad
55,17,15,7.27,33,0.71,Bad
47,18,46,6.52,63,0.76,Bad
23,53,5,6.4,18,1.16,Bad
81,49,15,7.27,25,0.23,Bad
71,46,28,5.28,11,1.12,Bad
44,29,14,8.43,44,0.68,Bad
28,37,18,7.08,43,0.41,Bad
39,37,18,5.96,31,0.87,Bad
87,19,11,6.9,28,0.72,Bad
93,20,27,5.37,68,0.43,Bad
34,48,47,7.04,58,0.83,Bad
49,42,26,4.61,61,0.67,Bad
97,10,40,5.86,30,0.89,Bad
23,48,31,7.49,21,0.89,Bad
35,29,6,7.73,20,0.67,Bad
96,19,43,5.51,61,0.59,Bad
31,8,55,6.66,63,0.26,Bad
57,8,50,6.61,28,0.69,Bad
92,34,23,6.19,67,0.44,Bad
60,38,11,5.41,15,0.25,Bad
12,31,16,7.31,51,0.53,Bad
51,35,7,5.51,23,0.29,Bad
28,36,51,8.14,42,0.78,Bad
82,48,9,6.61,56,0.7,Bad
37,43,12,7.98,47,0.99,Bad
93,56,18,5.66,22,0.47,Bad
54,13,40,7.73,65,0.57,Bad
80,45,11,4.95,35,0.89,Bad
87,12,11,7.57,23,1.19,Bad
72,18,54,6.05,54,1.1,Bad
82,37,50,6.38,33,0.72,Good
28,27,36,5.17,57,0.88,Bad
56,25,12,4.57,10,0.73,Bad
23,59,16,7.16,55,0.63,Bad
47,16,14,6.85,54,0.8,Bad
62,6,18,6.99,64,0.59,Bad
70,17,13,5.52,39,0.48,Bad
45,8,42,5.46,19,0.91,Bad
49,24,34,7.82,19,1.07,Bad
90,54,9,7.55,37,0.49,Bad
39,55,5,5.85,13,0.91,Bad
18,52,5,7.05,23,0.63,Bad
73,18,24,7.81,21,0.5,Bad
42,34,53,8.06,63,0.82,Bad
61,33,15,4.52,47,1.14,Bad
98,12,30,7.75,56,0.55,Bad
23,16,48,5.9,46,0.96,Bad
84,45,7,7.37,19,0.51,Bad
62,42,10,5.99,50,1.0,Bad
68,30,47,6.92,36,0.96,Good
87,54,49,7.09,51,0.97,Good
50,6,15,6.12,65,1.2,Bad
77,59,12,6.55,21,0.34,Bad
77,44,33,7.41,31,0.59,Good
17,18,14,6.41,13,0.83,Bad
11,10,38,4.56,38,0.79,Bad
95,46,28,4.55,45,0.98,Bad
50,44,50,7.15,54,0.25,Bad
64,35,52,7.89,66,0.91,Bad
25,21,21,7.64,23,0.94,Bad
71,29,36,5.74,21,0.26,Bad
57,36,15,6.38,54,0.74,Bad
39,16,38,5.44,29,0.44,Bad
21,53,28,8.46,54,1.0,Bad
44,17,59,5.54,32,0.25,Bad
20,23,9,6.17,31,0.35,Bad
73,48,33,7.22,43,0.3,Bad
59,52,52,8.0,30,0.27,Bad
94,29,52,4.71,60,0.8,Bad
30,35,38,5.7,18,1.07,Bad
78,41,20,6.78,19,0.71,Bad
57,29,29,6.97,58,0.41,Bad
29,20,41,4.78,19,0.54,Bad
76,42,12,7.16,61,0.56,Bad
53,47,33,6.61,54,0.65,Good
42,53,56,7.81,61,0.62,Bad
82,27,50,5.39,66,0.87,Bad
70,18,29,5.28,39,0.54,Bad
18,10,46,7.67,42,0.86,Bad
77,29,27,7.32,11,0.75,Bad
44,27,38,7.67,58,0.25,Bad
90,47,7,7.63,41,1.12,Bad
97,16,34,4.92,54,0.38,Bad
74,17,54,5.61,26,0.65,Bad
17,40,57,5.54,37,1.15,Bad
54,43,38,8.24,54,0.45,Bad
96,38,36,6.45,26,0.22,Bad
56,10,57,4.94,60,0.69,Bad
49,42,33,5.66,68,0.42,Bad
85,54,13,7.99,23,0.78,Bad
63,56,6,7.89,61,1.02,Bad
85,44,43,8.1,19,0.71,Bad
55,12,11,6.05,43,0.85,Bad
56,12,50,7.07,23,0.87,Bad
24,44,9,5.61,26,1.02,Bad
28,37,12,5.22,46,0.89,Bad
35,38,36,4.59,31,1.18,Bad
61,48,59,5.39,27,0.66,Bad
31,19,58,6.92,44,0.25,Bad
30,40,22,8.12,57,0.59,Bad
60,39,42,5.03,67,1.04,Bad
47,50,50,8.17,60,0.33,Bad
29,26,22,5.88,27,0.94,Bad
38,27,53,6.21,61,0.74,Bad
60,44,45,5.96,39,1.1,Bad
13,49,49,6.13,46,0.93,Bad
64,59,20,5.54,49,0.86,Bad
80,55,25,7.29,15,1.09,Bad
37,26,14,7.53,24,1.11,Bad
13,9,46,7.79,66,0.58,Bad
31,35,8,5.87,44,1.13,Bad
85,17,48,7.56,35,0.25,Bad
54,32,12,7.05,50,0.96,Bad
76,24,51,8.33,36,0.54,Bad
95,37,57,6.2,39,0.69,Good
75,20,59,8.47,20,1.04,Bad
97,33,23,7.46,61,0.84,Bad
43,27,51,7.61,33,0.66,Bad
64,28,44,4.6,67,0.36,Bad
10,38,44,6.49,64,1.14,Bad
81,11,55,6.61,23,0.53,Bad
96,42,13,4.66,32,0.3,Bad
47,41,34,5.75,18,0.76,Bad
15,8,21,8.32,51,0.61,Bad
95,38,44,6.2,56,0.79,Good
34,46,48,5.25,27,0.43,Bad
91,26,19,6.55,62,0.58,Bad
26,9,8,4.64,60,1.17,Bad
70,54,10,6.56,48,1.14,Bad
21,46,20,6.88,28,1.06,Bad
15,27,30,5.93,14,0.98,Bad
99,58,41,7.55,62,0.36,Bad
36,19,27,5.04,27,0.67,Bad
17,35,17,8.01,68,0.93,Bad
92,13,51,8.32,42,0.46,Bad
74,47,21,4.5,53,0.23,Bad
66,57,58,7.87,47,0.62,Bad
49,29,31,6.52,22,0.63,Bad
23,29,56,6.35,58,0.27,Bad
44,53,26,5.45,18,0.52,Bad
57,25,41,6.29,35,1.12,Bad
93,13,23,8.3,62,0.45,Bad
65,59,43,5.34,10,0.77,Bad
58,52,39,5.22,21,0.69,Bad
22,42,17,5.47,33,1.06,Bad
70,26,18,6.71,10,0.85,Bad
58,47,52,8.22,13,0.36,Bad
55,27,35,6.8,16,0.34,Bad
71,53,49,5.47,61,0.76,Bad
17,8,6,6.26,37,0.25,Bad
52,33,50,6.06,46,0.59,Good
29,19,56,4.69,64,0.6,Bad
99,5,43,6.54,61,0.4,Bad
48,58,41,5.0,14,0.5,Bad
94,34,18,7.87,48,0.53,Bad
58,33,13,6.7,41,0.21,Bad
73,24,14,7.88,58,1.01,Bad
71,37,11,8.32,40,1.16,Bad
63,45,32,8.27,53,0.49,Bad
18,48,50,4.9,24,0.31,Bad
97,40,29,8.28,12,1.15,Bad
46,26,50,7.68,58,0.94,Bad
58,17,32,7.61,55,1.09,Bad
50,11,6,4.86,56,0.56,Bad
26,12,21,5.22,56,0.68,Bad
97,32,56,8.4,24,1.13,Bad
30,49,8,5.35,60,0.66,Bad
60,47,17,5.18,52,0.87,Bad
68,13,22,5.95,27,0.9,Bad
48,29,7,8.15,30,1.04,Bad
64,20,55,6.4,19,1.18,Bad
50,14,41,8.18,30,0.53,Bad
48,15,37,5.84,35,0.45,Bad
22,35,45,5.41,50,0.28,Bad
73,16,28,6.48,65,1.06,Bad
20,35,12,6.96,12,0.49,Bad
28,18,39,6.07,10,0.25,Bad
20,55,6,5.88,30,1.07,Bad
86,48,37,5.37,20,0.71,Bad
55,36,16,5.6,25,1.04,Bad
54,54,26,7.19,44,0.75,Bad
10,57,17,5.98,30,0.51,Bad
49,21,14,4.82,50,0.33,Bad
28,39,21,5.05,20,0.64,Bad
85,5,47,5.99,40,0.23,Bad
81,33,9,8.2,58,0.8,Bad
81,55,13,6.02,10,0.63,Bad
70,8,17,4.74,50,0.34,Bad
21,27,56,6.17,41,0.73,Bad
70,32,27,7.18,12,1.0,Bad
42,20,34,6.87,69,1.17,Bad
54,16,47,5.62,41,0.73,Bad
99,57,59,7.25,51,0.33,Bad
78,25,8,7.02,14,1.01,Bad
17,49,25,5.19,66,0.9,Bad
34,21,47,5.15,52,1.15,Bad
55,44,13,6.69,46,0.74,Bad
96,17,11,7.14,21,0.56,Bad
39,56,20,8.35,23,1.16,Bad
56,36,27,6.19,53,0.74,Bad
96,41,27,7.56,60,0.22,Bad
58,54,35,4.97,18,0.67,Bad
56,19,9,8.06,69,0.2,Bad
93,16,10,7.03,16,0.94,Bad
91,53,55,7.02,25,0.77,Good
27,19,5,5.07,37,0.31,Bad
75,38,52,4.66,69,1.01,Bad
77,10,32,7.31,16,0.74,Bad
42,21,22,4.97,23,0.31,Bad
45,52,28,5.01,41,0.36,Bad
91,53,17,5.25,17,1.02,Bad
28,24,37,4.89,36,0.56,Bad
37,13,14,7.0,62,1.02,Bad
49,9,11,6.19,59,0.27,Bad
93,27,41,5.56,68,0.44,Bad
85,37,36,6.26,66,0.96,Bad
24,42,49,7.88,12,0.84,Bad
50,18,26,8.21,36,0.51,Bad
48,21,20,6.45,39,1.14,Bad
11,23,28,6.77,43,0.41,Bad
72,37,56,5.53,35,1.05,Bad
38,5,58,6.55,67,0.9,Bad
83,17,18,7.49,46,0.32,Bad
75,50,15,6.47,49,0.76,Bad
60,31,23,5.71,60,1.13,Bad
84,10,27,6.83,31,0.82,Bad
86,10,38,8.29,41,0.73,Bad
19,37,44,8.05,50,0.57,Bad
23,34,17,7.58,11,0.99,Bad
91,50,43,5.6,56,1.11,Bad
60,39,48,5.47,17,0.95,Bad
82,27,32,7.85,51,0.93,Bad
48,14,44,5.23,16,0.39,Bad
